Function,Dimension,Run,ErrorValue,Evals,Time
6,10,51,1844.98,12890,0.675
7,10,1,2350.72,16820,0.878
7,10,2,2408.25,23910,1.274
7,10,3,2534.68,17870,0.915
7,10,4,2603.6,20960,1.074
7,10,5,2527.86,27730,1.413
7,10,6,2479.45,27730,1.389
7,10,7,2334.77,27730,1.409
7,10,8,2517.73,17170,0.912
7,10,9,2587.08,23760,1.333
7,10,10,2525.81,27730,1.485
7,10,11,2796.57,20410,1.077
7,10,12,2159.22,23280,1.2
7,10,13,2218.84,21000,1.069
7,10,14,2219.48,19070,-0.243
7,10,15,2218.92,27730,1.416
7,10,16,2222.22,17620,0.903
7,10,17,2175.75,19700,1.011
7,10,18,2324.17,19540,0.984
7,10,19,2283.49,18160,0.935
7,10,20,2420.8,23890,1.213
7,10,21,2440.59,21580,1.093
7,10,22,2506.08,20780,1.045
7,10,23,2455.7,27450,1.394
7,10,24,2339.37,21400,1.107
7,10,25,2117.66,21360,1.11
7,10,26,2614.07,17290,0.887
7,10,27,2318.44,20620,1.046
7,10,28,2539.94,21050,1.089
7,10,29,2291.16,19620,1.01
7,10,30,2614.16,23900,1.182
7,10,31,2762.62,23830,1.233
7,10,32,2435,18990,0.993
7,10,33,2219.14,27730,1.397
7,10,34,2219.27,25260,1.269
7,10,35,2588.24,23860,1.204
7,10,36,2339.56,24110,1.213
7,10,37,2474.64,21670,1.167
7,10,38,2519.99,23550,1.235
7,10,39,2584.03,17530,0.899
7,10,40,2461.1,17850,0.937
7,10,41,2501.37,26360,1.344
7,10,42,2766.04,27730,1.448
7,10,43,2460.43,19950,-0.241
7,10,44,2620.57,18050,0.907
7,10,45,2435.29,27730,1.43
7,10,46,2656.51,23760,1.259
7,10,47,2101.38,17370,0.874
7,10,48,2175.95,24380,1.229
7,10,49,2283.35,26660,1.337
7,10,50,2349.7,17570,0.909
7,10,51,2574.08,27730,1.394
8,10,1,2300.35,3790,0.204
8,10,2,3329.14,3300,0.178
8,10,3,2865.11,3810,0.209
8,10,4,2300,5180,0.278
8,10,5,2975.92,15870,0.862
8,10,6,2300.5,3620,0.194
8,10,7,2945.25,10120,0.587
8,10,8,2300,5250,0.313
8,10,9,3506.97,6830,0.374
8,10,10,2300.35,3640,0.193
8,10,11,2300,4850,0.266
8,10,12,2300,4870,0.261
8,10,13,3516.5,3690,0.212
8,10,14,2300.29,3670,0.2
8,10,15,2300,6230,0.343
8,10,16,3243.9,4330,0.242
8,10,17,2300,5170,0.303
8,10,18,3743.27,3510,0.185
8,10,19,2300,4980,0.292
8,10,20,2300,5880,0.319
8,10,21,2300.29,3390,0.18
8,10,22,3499.65,3760,0.216
8,10,23,2300.29,3730,0.197
8,10,24,2300,5540,0.299
8,10,25,2968.05,3310,0.176
8,10,26,3164.23,3960,0.212
8,10,27,2300,5440,0.29
8,10,28,2300.29,3690,0.196
8,10,29,2300.4,3790,0.202
8,10,30,2300.49,3560,0.19
8,10,31,2300.58,3530,0.196
8,10,32,3175.23,4670,0.256
8,10,33,2791.76,4800,0.259
8,10,34,2300.29,3810,0.209
8,10,35,3281.46,12140,0.649
8,10,36,2300.4,3600,0.194
8,10,37,2300,5220,0.283
8,10,38,2300.51,3820,0.211
8,10,39,3121.53,5020,0.276
8,10,40,2300,5130,0.279
8,10,41,2300,4880,0.263
8,10,42,3416.46,3890,0.208
8,10,43,3175.12,12630,0.672
8,10,44,3873.01,4250,0.228
8,10,45,2211.4,3160,0.177
8,10,46,4135.24,4180,0.222
8,10,47,2300.35,3780,0.205
8,10,48,2883.79,4610,0.276
8,10,49,2300.29,3580,0.192
8,10,50,2300,4600,0.245
