Function,Dimension,Run,ErrorValue,Evals,Time
8,10,27,2300,5780,0.325
8,10,28,2300,4860,0.264
8,10,29,2300,4770,0.259
8,10,30,3209.42,21450,1.173
8,10,31,2300.35,3820,0.213
8,10,32,3078.19,10700,0.583
8,10,33,4486.4,3450,0.185
8,10,34,2300.34,3510,0.199
8,10,35,2300.29,3810,0.207
8,10,36,3127.25,3700,0.2
8,10,37,4180.66,4200,0.231
8,10,38,2300,5110,0.277
8,10,39,3661.41,3640,0.198
8,10,40,3440.21,3340,0.182
8,10,41,3284.27,3300,0.182
8,10,42,2300,4730,0.261
8,10,43,2300,5510,0.305
8,10,44,2300,5200,0.286
8,10,45,2300,4920,0.263
8,10,46,2975.53,6250,0.335
8,10,47,2300,5290,0.289
8,10,48,2300.35,4020,0.219
8,10,49,3069.27,4800,0.256
8,10,50,3558.93,3850,0.215
8,10,51,2300,5180,0.286
9,10,1,2500,5720,0.315
9,10,2,2746.65,5030,0.279
9,10,3,2738.49,3980,0.221
9,10,4,2735.68,3420,0.19
9,10,5,2735.98,3500,0.19
9,10,6,2737.36,4050,0.225
9,10,7,2749.58,3350,0.188
9,10,8,2732.07,3560,0.194
9,10,9,2736.7,4680,0.276
9,10,10,2749.02,3530,0.192
9,10,11,2500,5160,0.285
9,10,12,2737.79,4340,0.236
9,10,13,2749.25,3440,0.191
9,10,14,2738.92,3530,0.208
9,10,15,2744.6,3870,0.21
9,10,16,2736.19,3300,0.183
9,10,17,2747.81,3990,-1.005
9,10,18,2750.82,3740,0.21
9,10,19,2761.05,3750,0.225
9,10,20,2600,5100,0.283
9,10,21,2741.65,3840,0.21
9,10,22,2600,4790,0.259
9,10,23,2742.34,3160,0.176
9,10,24,2748.85,3550,0.207
9,10,25,2755.28,3450,0.19
9,10,26,2739.01,4200,0.238
9,10,27,2738.11,4540,0.249
9,10,28,2751.11,4420,0.247
9,10,29,2740.59,4670,0.264
9,10,30,2743.88,3970,0.218
9,10,31,2733.84,3510,0.191
9,10,32,2747.78,3390,0.189
9,10,33,2500,5120,0.281
9,10,34,2500,5240,0.289
9,10,35,2500,5340,0.305
9,10,36,2749.07,3170,0.183
9,10,37,2736.42,3540,0.195
9,10,38,2600,4820,0.269
9,10,39,2736.56,3570,0.199
9,10,40,2745.33,4960,0.297
9,10,41,2745.99,3710,0.214
9,10,42,2750.2,3840,0.215
9,10,43,2737.15,3860,0.213
9,10,44,2739.1,4290,0.234
9,10,45,2500,5040,0.3
9,10,46,2744.28,5020,0.273
9,10,47,2757.33,3600,0.199
9,10,48,2600.85,3230,0.176
9,10,49,2500,5000,0.272
9,10,50,2740.64,4000,0.223
9,10,51,2737.04,3780,0.22
10,10,1,2943.54,4680,0.254
10,10,2,2945.91,3660,0.198
10,10,3,2946.55,4870,0.27
10,10,4,2946.07,4510,0.249
10,10,5,2899.58,3770,0.21
10,10,6,2898.21,3810,0.208
