Function,Statistic,p-value,Buffer Size,Comparison,Config
F23,630.0,0.7570747669212832,2500000.0,True vs LCG,Shuffle
F24,653.0,0.9253199298840316,2500000.0,True vs LCG,Shuffle
F25,585.0,0.46469949772563435,2500000.0,True vs LCG,Shuffle
F26,462.0,0.09023670580323977,2500000.0,True vs LCG,Shuffle
F27,469.0,0.06899498935726181,2500000.0,True vs LCG,Shuffle
F28,1.0,0.6547208460185769,2500000.0,True vs LCG,Shuffle
F1,527.0,0.20238305217721309,2500000.0,True vs MT,Shuffle
F2,451.0,0.0469030099173163,2500000.0,True vs MT,Shuffle
F3,647.0,0.8807839685412195,2500000.0,True vs MT,Shuffle
F4,556.0,0.31587970049254877,2500000.0,True vs MT,Shuffle
F5,655.0,0.9402244705136732,2500000.0,True vs MT,Shuffle
F6,20.0,0.03538704560497593,2500000.0,True vs MT,Shuffle
F7,543.0,0.26066700271644416,2500000.0,True vs MT,Shuffle
F8,603.5,0.5770326334413038,2500000.0,True vs MT,Shuffle
F9,640.0,0.8293075556249441,2500000.0,True vs MT,Shuffle
F10,614.0,0.8205387894383639,2500000.0,True vs MT,Shuffle
F11,650.5,0.9067261485225078,2500000.0,True vs MT,Shuffle
F12,604.5,0.7500601505080828,2500000.0,True vs MT,Shuffle
F13,398.0,0.012992722022935176,2500000.0,True vs MT,Shuffle
F14,616.0,0.6595366763108996,2500000.0,True vs MT,Shuffle
F15,615.0,0.6527635040598475,2500000.0,True vs MT,Shuffle
F16,456.0,0.05234231324293178,2500000.0,True vs MT,Shuffle
F17,595.0,0.5238670979512359,2500000.0,True vs MT,Shuffle
F18,582.0,0.44770253301902596,2500000.0,True vs MT,Shuffle
F19,534.0,0.22659476517213117,2500000.0,True vs MT,Shuffle
F20,266.0,0.42221868501052773,2500000.0,True vs MT,Shuffle
F21,193.0,0.3859381247775384,2500000.0,True vs MT,Shuffle
F22,613.0,0.6393031435239315,2500000.0,True vs MT,Shuffle
F23,651.0,0.9104415563099536,2500000.0,True vs MT,Shuffle
F24,520.0,0.1801134634267031,2500000.0,True vs MT,Shuffle
F25,639.0,0.8220078988746186,2500000.0,True vs MT,Shuffle
F26,507.0,0.20775852744976409,2500000.0,True vs MT,Shuffle
F27,459.0,0.055852182035584695,2500000.0,True vs MT,Shuffle
F28,1.0,0.28504940740261275,2500000.0,True vs MT,Shuffle
F1,448.0,0.0438737090806109,2500000.0,True vs LCG,Offset
F2,446.0,0.041947329699110254,2500000.0,True vs LCG,Offset
F3,405.0,0.015590881445035504,2500000.0,True vs LCG,Offset
F4,582.0,0.44770253301902596,2500000.0,True vs LCG,Offset
F5,623.0,0.7077060754186115,2500000.0,True vs LCG,Offset
F6,20.0,0.07136901092402131,2500000.0,True vs LCG,Offset
F7,634.0,0.7857523222149989,2500000.0,True vs LCG,Offset
F8,658.0,0.9626187577685986,2500000.0,True vs LCG,Offset
F9,653.0,0.9253199298840316,2500000.0,True vs LCG,Offset
F10,586.0,0.7920843532575628,2500000.0,True vs LCG,Offset
F11,539.5,0.2470152591239223,2500000.0,True vs LCG,Offset
F12,604.5,0.5834510364759626,2500000.0,True vs LCG,Offset
F13,550.0,0.28950790547879135,2500000.0,True vs LCG,Offset
F14,482.0,0.08977278221064691,2500000.0,True vs LCG,Offset
F15,528.0,0.20572151632429536,2500000.0,True vs LCG,Offset
F16,280.0,0.0003306299984343395,2500000.0,True vs LCG,Offset
F17,459.0,0.055852182035584695,2500000.0,True vs LCG,Offset
F18,655.0,0.9402244705136732,2500000.0,True vs LCG,Offset
F19,563.0,0.34858025507982393,2500000.0,True vs LCG,Offset
F20,363.0,0.9133872450797261,2500000.0,True vs LCG,Offset
F21,181.5,0.8415431109376112,2500000.0,True vs LCG,Offset
F22,652.0,0.9178771482083954,2500000.0,True vs LCG,Offset
F23,608.0,0.6061752519894534,2500000.0,True vs LCG,Offset
F24,588.0,0.4820495081438054,2500000.0,True vs LCG,Offset
F25,503.0,0.13367795585698114,2500000.0,True vs LCG,Offset
F26,497.0,0.175008298276776,2500000.0,True vs LCG,Offset
F27,494.0,0.11316734658246257,2500000.0,True vs LCG,Offset
F28,0.0,0.31731050786291415,2500000.0,True vs LCG,Offset
F1,545.0,0.26869661608941153,2500000.0,True vs MT,Offset
F2,521.0,0.18317838469167835,2500000.0,True vs MT,Offset
F3,643.0,0.8512926627110882,2500000.0,True vs MT,Offset
F4,567.0,0.3681985810999626,2500000.0,True vs MT,Offset
F5,553.0,0.30250267023967414,2500000.0,True vs MT,Offset
F6,4.5,0.10516238594487679,2500000.0,True vs MT,Offset
F7,542.0,0.2567150712366082,2500000.0,True vs MT,Offset
F8,615.0,0.6527635040598475,2500000.0,True vs MT,Offset
F9,635.0,0.7929690769244468,2500000.0,True vs MT,Offset
F10,633.5,0.7821461304207197,2500000.0,True vs MT,Offset
F11,545.0,0.37189558283448554,2500000.0,True vs MT,Offset
F12,552.0,0.29812864290619645,2500000.0,True vs MT,Offset
F13,563.0,0.34858025507982393,2500000.0,True vs MT,Offset
F14,529.0,0.20909981466131067,2500000.0,True vs MT,Offset
F15,462.0,0.05955593486535172,2500000.0,True vs MT,Offset
F16,205.0,1.7623702558207046e-05,2500000.0,True vs MT,Offset
F17,552.0,0.29812864290619645,2500000.0,True vs MT,Offset
F18,591.0,0.4997458992672096,2500000.0,True vs MT,Offset
F19,577.0,0.4201747268820091,2500000.0,True vs MT,Offset
F20,346.0,0.7223605452135442,2500000.0,True vs MT,Offset
F21,163.0,0.7250022403271585,2500000.0,True vs MT,Offset
F22,578.0,0.4255993270988646,2500000.0,True vs MT,Offset
F23,573.0,0.3988862463133853,2500000.0,True vs MT,Offset
F24,524.0,0.19260484260317556,2500000.0,True vs MT,Offset
F25,573.0,0.3988862463133853,2500000.0,True vs MT,Offset
F26,426.0,0.06357189033003402,2500000.0,True vs MT,Offset
F27,517.0,0.17114743842067615,2500000.0,True vs MT,Offset
F28,0.0,0.06788915486182899,2500000.0,True vs MT,Offset
F1,650.0,0.9029766816647441,2500000.0,True vs LCG,Restart
F2,469.0,0.06888824646109758,2500000.0,True vs LCG,Restart
F3,495.0,0.11517611538200886,2500000.0,True vs LCG,Restart
F4,485.0,0.09509383263393967,2500000.0,True vs LCG,Restart
F5,285.0,0.0003933089060648576,2500000.0,True vs LCG,Restart
F6,2.5,0.7854947471183542,2500000.0,True vs LCG,Restart
F7,629.0,0.7498626698162401,2500000.0,True vs LCG,Restart
F8,234.0,5.751914460192788e-05,2500000.0,True vs LCG,Restart
F9,214.0,2.550257581140275e-05,2500000.0,True vs LCG,Restart
F10,400.0,0.013638570698443287,2500000.0,True vs LCG,Restart
F11,105.0,1.673175516931717e-07,2500000.0,True vs LCG,Restart
F12,505.5,0.1396793212751955,2500000.0,True vs LCG,Restart
F13,418.0,0.021596950270384066,2500000.0,True vs LCG,Restart
F14,106.0,1.7601967605418914e-07,2500000.0,True vs LCG,Restart
F15,456.0,0.05225173775071387,2500000.0,True vs LCG,Restart
F16,191.0,9.60063020219022e-06,2500000.0,True vs LCG,Restart
F17,558.0,0.32482424218546435,2500000.0,True vs LCG,Restart
F18,581.0,0.44194085739935784,2500000.0,True vs LCG,Restart
F19,634.0,0.7856834198582661,2500000.0,True vs LCG,Restart
F20,20.0,0.0023333403842755486,2500000.0,True vs LCG,Restart
F21,150.0,0.496332146908268,2500000.0,True vs LCG,Restart
F22,490.0,0.10477244962209525,2500000.0,True vs LCG,Restart
F23,555.0,0.3112187041817064,2500000.0,True vs LCG,Restart
F24,609.0,0.6126221519792072,2500000.0,True vs LCG,Restart
F25,522.0,0.1861124934325653,2500000.0,True vs LCG,Restart
F26,291.0,0.0038481837101346653,2500000.0,True vs LCG,Restart
F27,138.0,8.524364626380535e-07,2500000.0,True vs LCG,Restart
F28,0.0,0.0081509715935027,2500000.0,True vs LCG,Restart
F1,403.0,0.014644807571622204,2500000.0,True vs MT,Restart
F2,202.0,1.5035918230774518e-05,2500000.0,True vs MT,Restart
F3,226.0,4.081196379062733e-05,2500000.0,True vs MT,Restart
F4,420.0,0.02252249882517753,2500000.0,True vs MT,Restart
F5,400.0,0.013541117442221905,2500000.0,True vs MT,Restart
F6,0.0,0.31731050786291415,2500000.0,True vs MT,Restart
F7,360.0,0.004439941991562736,2500000.0,True vs MT,Restart
F8,298.0,0.0006097298436190277,2500000.0,True vs MT,Restart
F9,452.0,0.04756530984693191,2500000.0,True vs MT,Restart
F10,253.0,0.004648144890151669,2500000.0,True vs MT,Restart
F11,455.0,0.050812201007565554,2500000.0,True vs MT,Restart
F12,632.0,0.7709890525876492,2500000.0,True vs MT,Restart
F13,464.0,0.06168476570010526,2500000.0,True vs MT,Restart
F14,492.0,0.10835244868063172,2500000.0,True vs MT,Restart
F15,597.0,0.5354410102291226,2500000.0,True vs MT,Restart
F16,79.0,4.167605434616057e-08,2500000.0,True vs MT,Restart
F17,479.0,0.08404040005838674,2500000.0,True vs MT,Restart
F18,385.0,0.009045147414188699,2500000.0,True vs MT,Restart
F19,579.0,0.43031923871808975,2500000.0,True vs MT,Restart
F20,189.0,0.00010677989578492143,2500000.0,True vs MT,Restart
F21,148.5,0.011979495122416521,2500000.0,True vs MT,Restart
F22,445.0,0.04068530879788589,2500000.0,True vs MT,Restart
F23,535.0,0.2294621466219302,2500000.0,True vs MT,Restart
F24,404.0,0.01502993663087883,2500000.0,True vs MT,Restart
F25,473.0,0.07444950897158077,2500000.0,True vs MT,Restart
F26,371.0,0.1469735418806952,2500000.0,True vs MT,Restart
F27,233.0,5.411282569701397e-05,2500000.0,True vs MT,Restart
F28,0.0,0.0081509715935027,2500000.0,True vs MT,Restart
