Function,Dimension,Run,ErrorValue
8,10,37,2.30000000e+03
8,10,38,2.30000000e+03
8,10,39,2.30000000e+03
8,10,40,2.30000000e+03
8,10,41,2.30000000e+03
8,10,42,2.30000000e+03
8,10,43,2.30000000e+03
8,10,44,2.30000000e+03
8,10,45,2.30000000e+03
8,10,46,2.30000000e+03
8,10,47,2.30000000e+03
8,10,48,2.30000000e+03
8,10,49,2.30000000e+03
8,10,50,2.30000000e+03
8,10,51,2.30000000e+03
9,10,1,2.72820480e+03
9,10,2,2.73305691e+03
9,10,3,2.72956432e+03
9,10,4,2.50151171e+03
9,10,5,2.73212165e+03
9,10,6,2.73206796e+03
9,10,7,2.72861807e+03
9,10,8,2.73219450e+03
9,10,9,2.72982616e+03
9,10,10,2.72954481e+03
9,10,11,2.73252581e+03
9,10,12,2.73051690e+03
9,10,13,2.72949274e+03
9,10,14,2.72801123e+03
9,10,15,2.73204865e+03
9,10,16,2.72989580e+03
9,10,17,2.73123656e+03
9,10,18,2.73118872e+03
9,10,19,2.72922649e+03
9,10,20,2.73220800e+03
9,10,21,2.73024416e+03
9,10,22,2.73160651e+03
9,10,23,2.73029617e+03
9,10,24,2.50000000e+03
9,10,25,2.72954432e+03
9,10,26,2.73005662e+03
9,10,27,2.72956521e+03
9,10,28,2.73322785e+03
9,10,29,2.73075167e+03
9,10,30,2.72760709e+03
9,10,31,2.73172297e+03
9,10,32,2.72939103e+03
9,10,33,2.73182281e+03
9,10,34,2.72858883e+03
9,10,35,2.73401639e+03
9,10,36,2.73160759e+03
9,10,37,2.73123665e+03
9,10,38,2.73231638e+03
9,10,39,2.73099322e+03
9,10,40,2.73038667e+03
9,10,41,2.73005726e+03
9,10,42,2.73217132e+03
9,10,43,2.73038737e+03
9,10,44,2.73225658e+03
9,10,45,2.73090803e+03
9,10,46,2.73030192e+03
9,10,47,2.73039151e+03
9,10,48,2.50000000e+03
9,10,49,2.73038793e+03
9,10,50,2.73160640e+03
9,10,51,2.72939114e+03
10,10,1,2.89800899e+03
10,10,2,2.89800899e+03
10,10,3,2.94337312e+03
10,10,4,2.94336511e+03
10,10,5,2.89803196e+03
10,10,6,2.94332995e+03
10,10,7,2.89800899e+03
10,10,8,2.94332995e+03
10,10,9,2.89800899e+03
10,10,10,2.94337224e+03
10,10,11,2.89800899e+03
10,10,12,2.89800899e+03
10,10,13,2.89774287e+03
10,10,14,2.89803578e+03
10,10,15,2.89803196e+03
10,10,16,2.89800899e+03
10,10,17,2.89774287e+03
10,10,18,2.94336511e+03
10,10,19,2.94335672e+03
10,10,20,2.89800899e+03
10,10,21,2.89803578e+03
10,10,22,2.89800899e+03
10,10,23,2.89803196e+03
10,10,24,2.94332998e+03
10,10,25,2.89803578e+03
10,10,26,2.94333301e+03
10,10,27,2.89774287e+03
10,10,28,2.94334230e+03
10,10,29,2.89800899e+03
10,10,30,2.89800899e+03
10,10,31,2.89803578e+03
10,10,32,2.89800899e+03
10,10,33,2.89803578e+03
10,10,34,2.89800899e+03
10,10,35,2.89800899e+03
10,10,36,2.89774567e+03
10,10,37,2.94332995e+03
10,10,38,2.89774287e+03
10,10,39,2.89800899e+03
10,10,40,2.94337312e+03
10,10,41,2.89774287e+03
10,10,42,2.89800899e+03
10,10,43,2.89800899e+03
10,10,44,2.89800899e+03
10,10,45,2.89774287e+03
10,10,46,2.89800899e+03
10,10,47,2.94335672e+03
10,10,48,2.89800899e+03
10,10,49,2.94333391e+03
10,10,50,2.89800899e+03
10,10,51,2.89803578e+03
